code,country,partner_country,rel_import_change,date
BRA,Brazil(BRA),AUS,-0.470643512,2/4/2025
BRA,Brazil(BRA),ARE,-0.419554388,2/4/2025
BRA,Brazil(BRA),MYS,-0.378217393,2/4/2025
BRA,Brazil(BRA),VNM,-0.368062864,2/4/2025
BRA,Brazil(BRA),BRA,-0.305634007,2/4/2025
BRA,Brazil(BRA),KOR,-0.151006544,2/4/2025
BRA,Brazil(BRA),IDN,0.375725625,2/4/2025
BRA,Brazil(BRA),THA,0.452449791,2/4/2025
BRA,Brazil(BRA),MMR,1.668477702,2/4/2025
BRA,Brazil(BRA),NZL,4.397887034,2/4/2025
BRA,Brazil(BRA),MEX,13.48353012,2/4/2025
BRA,Brazil(BRA),CAN,18.8240488,2/4/2025
BRN,Brunei Darussalam(BRN),IND,-6.26176613,2/4/2025
BRN,Brunei Darussalam(BRN),LAO,-5.456405669,2/4/2025
BRN,Brunei Darussalam(BRN),COL,-5.157726363,2/4/2025
BRN,Brunei Darussalam(BRN),USA,-4.414050991,2/4/2025
BRN,Brunei Darussalam(BRN),NOR,-4.050288694,2/4/2025
BRN,Brunei Darussalam(BRN),KHM,-3.985652049,2/4/2025
BRN,Brunei Darussalam(BRN),AGO,-3.340426313,2/4/2025
BRN,Brunei Darussalam(BRN),GBR,-2.69464254,2/4/2025
BRN,Brunei Darussalam(BRN),KAZ,-2.432532544,2/4/2025
BRN,Brunei Darussalam(BRN),RUS,-2.062976189,2/4/2025
BRN,Brunei Darussalam(BRN),UKR,-1.928439353,2/4/2025
BRN,Brunei Darussalam(BRN),ROW,-1.557418175,2/4/2025
BRN,Brunei Darussalam(BRN),CMR,-1.331402314,2/4/2025
BRN,Brunei Darussalam(BRN),SAU,-1.186787834,2/4/2025
BRN,Brunei Darussalam(BRN),NGA,-1.184420138,2/4/2025
BRN,Brunei Darussalam(BRN),STP,-1.171272676,2/4/2025
BRN,Brunei Darussalam(BRN),ISR,-1.049295167,2/4/2025
